Lexeme               Line#  TokenName            Value        ParentNodeSym             isLeaf NodeSym
------               -----  ---------            -----        -------------             ------ -------
_computeFunctionValue 6      TK_FUNID             ---          function                  yes    ---
----                 0      function             ---          otherFunctions            no     function
input                6      TK_INPUT             ---          input_par                 yes    ---
----                 0      input_par            ---          function                  no     input_par
parameter            6      TK_PARAMETER         ---          input_par                 yes    ---
list                 6      TK_LIST              ---          input_par                 yes    ---
[                    6      TK_SQL               ---          input_par                 yes    ---
int                  6      TK_INT               ---          primitiveDatatype         yes    ---
----                 0      primitiveDatatype    ---          dataType                  no     primitiveDatatype
----                 0      dataType             ---          parameter_list            no     dataType
----                 0      parameter_list       ---          input_par                 no     parameter_list
c3                   6      TK_ID                ---          parameter_list            yes    ---
,                    6      TK_COMMA             ---          remaining_list            yes    ---
----                 0      remaining_list       ---          parameter_list            no     remaining_list
int                  6      TK_INT               ---          primitiveDatatype         yes    ---
----                 0      primitiveDatatype    ---          dataType                  no     primitiveDatatype
----                 0      dataType             ---          parameter_list            no     dataType
----                 0      parameter_list       ---          remaining_list            no     parameter_list
c4                   6      TK_ID                ---          parameter_list            yes    ---
,                    6      TK_COMMA             ---          remaining_list            yes    ---
----                 0      remaining_list       ---          parameter_list            no     remaining_list
int                  6      TK_INT               ---          primitiveDatatype         yes    ---
----                 0      primitiveDatatype    ---          dataType                  no     primitiveDatatype
----                 0      dataType             ---          parameter_list            no     dataType
----                 0      parameter_list       ---          remaining_list            no     parameter_list
c5                   6      TK_ID                ---          parameter_list            yes    ---
eps                  0      eps                  ---          remaining_list            yes    ---
----                 0      remaining_list       ---          parameter_list            no     remaining_list
]                    6      TK_SQR               ---          input_par                 yes    ---
output               7      TK_OUTPUT            ---          output_par                yes    ---
----                 0      output_par           ---          function                  no     output_par
parameter            7      TK_PARAMETER         ---          output_par                yes    ---
list                 7      TK_LIST              ---          output_par                yes    ---
[                    7      TK_SQL               ---          output_par                yes    ---
real                 7      TK_REAL              ---          primitiveDatatype         yes    ---
----                 0      primitiveDatatype    ---          dataType                  no     primitiveDatatype
----                 0      dataType             ---          parameter_list            no     dataType
----                 0      parameter_list       ---          output_par                no     parameter_list
c6                   7      TK_ID                ---          parameter_list            yes    ---
eps                  0      eps                  ---          remaining_list            yes    ---
----                 0      remaining_list       ---          parameter_list            no     remaining_list
]                    7      TK_SQR               ---          output_par                yes    ---
;                    7      TK_SEM               ---          function                  yes    ---
eps                  0      eps                  ---          typeDefinitions           yes    ---
----                 0      typeDefinitions      ---          stmts                     no     typeDefinitions
----                 0      stmts                ---          function                  no     stmts
type                 8      TK_TYPE              ---          declaration               yes    ---
----                 0      declaration          ---          declarations              no     declaration
real                 8      TK_REAL              ---          primitiveDatatype         yes    ---
----                 0      primitiveDatatype    ---          dataType                  no     primitiveDatatype
----                 0      dataType             ---          declaration               no     dataType
:                    8      TK_COLON             ---          declaration               yes    ---
d4cbcd5677           8      TK_ID                ---          declaration               yes    ---
eps                  0      eps                  ---          global_or_not             yes    ---
----                 0      global_or_not        ---          declaration               no     global_or_not
;                    8      TK_SEM               ---          declaration               yes    ---
----                 0      declarations         ---          stmts                     no     declarations
type                 9      TK_TYPE              ---          declaration               yes    ---
----                 0      declaration          ---          declarations              no     declaration
real                 9      TK_REAL              ---          primitiveDatatype         yes    ---
----                 0      primitiveDatatype    ---          dataType                  no     primitiveDatatype
----                 0      dataType             ---          declaration               no     dataType
:                    9      TK_COLON             ---          declaration               yes    ---
c4bbb                9      TK_ID                ---          declaration               yes    ---
eps                  0      eps                  ---          global_or_not             yes    ---
----                 0      global_or_not        ---          declaration               no     global_or_not
;                    9      TK_SEM               ---          declaration               yes    ---
----                 0      declarations         ---          declarations              no     declarations
eps                  0      eps                  ---          declarations              yes    ---
----                 0      declarations         ---          declarations              no     declarations
c6                   10     TK_ID                ---          singleOrRecId             yes    ---
----                 0      singleOrRecId        ---          assignmentStmt            no     singleOrRecId
eps                  0      eps                  ---          optionSingleConstr        yes    ---
----                 0      optionSingleConstr   ---          singleOrRecId             no     optionSingleConstr
----                 0      assignmentStmt       ---          stmt                      no     assignmentStmt
<---                 10     TK_ASSIGNOP          ---          assignmentStmt            yes    ---
5000.79              10     TK_RNUM              5000.790039  var                       yes    ---
----                 0      var                  ---          factor                    no     var
----                 0      factor               ---          term                      no     factor
----                 0      term                 ---          arithmeticExpression      no     term
eps                  0      eps                  ---          termPrime                 yes    ---
----                 0      termPrime            ---          term                      no     termPrime
----                 0      arithmeticExpression ---          assignmentStmt            no     arithmeticExpression
eps                  0      eps                  ---          expPrime                  yes    ---
----                 0      expPrime             ---          arithmeticExpression      no     expPrime
;                    10     TK_SEM               ---          assignmentStmt            yes    ---
----                 0      stmt                 ---          otherStmts                no     stmt
----                 0      otherStmts           ---          stmts                     no     otherStmts
d4cbcd5677           11     TK_ID                ---          singleOrRecId             yes    ---
----                 0      singleOrRecId        ---          assignmentStmt            no     singleOrRecId
eps                  0      eps                  ---          optionSingleConstr        yes    ---
----                 0      optionSingleConstr   ---          singleOrRecId             no     optionSingleConstr
----                 0      assignmentStmt       ---          stmt                      no     assignmentStmt
<---                 11     TK_ASSIGNOP          ---          assignmentStmt            yes    ---
(                    11     TK_OP                ---          factor                    yes    ---
----                 0      factor               ---          term                      no     factor
(                    11     TK_OP                ---          factor                    yes    ---
----                 0      factor               ---          term                      no     factor
c3                   11     TK_ID                ---          singleOrRecId             yes    ---
----                 0      singleOrRecId        ---          var                       no     singleOrRecId
eps                  0      eps                  ---          optionSingleConstr        yes    ---
----                 0      optionSingleConstr   ---          singleOrRecId             no     optionSingleConstr
----                 0      var                  ---          factor                    no     var
----                 0      factor               ---          term                      no     factor
----                 0      term                 ---          arithmeticExpression      no     term
eps                  0      eps                  ---          termPrime                 yes    ---
----                 0      termPrime            ---          term                      no     termPrime
----                 0      arithmeticExpression ---          factor                    no     arithmeticExpression
+                    11     TK_PLUS              ---          lowPrecedenceOp           yes    ---
----                 0      lowPrecedenceOp      ---          expPrime                  no     lowPrecedenceOp
----                 0      expPrime             ---          arithmeticExpression      no     expPrime
2                    11     TK_NUM               2            var                       yes    ---
----                 0      var                  ---          factor                    no     var
----                 0      factor               ---          term                      no     factor
----                 0      term                 ---          expPrime                  no     term
*                    11     TK_MUL               ---          highPrecedenceOp          yes    ---
----                 0      highPrecedenceOp     ---          termPrime                 no     highPrecedenceOp
----                 0      termPrime            ---          term                      no     termPrime
c4                   11     TK_ID                ---          singleOrRecId             yes    ---
----                 0      singleOrRecId        ---          var                       no     singleOrRecId
eps                  0      eps                  ---          optionSingleConstr        yes    ---
----                 0      optionSingleConstr   ---          singleOrRecId             no     optionSingleConstr
----                 0      var                  ---          factor                    no     var
----                 0      factor               ---          termPrime                 no     factor
eps                  0      eps                  ---          termPrime                 yes    ---
----                 0      termPrime            ---          termPrime                 no     termPrime
eps                  0      eps                  ---          expPrime                  yes    ---
----                 0      expPrime             ---          expPrime                  no     expPrime
)                    11     TK_CL                ---          factor                    yes    ---
----                 0      term                 ---          arithmeticExpression      no     term
eps                  0      eps                  ---          termPrime                 yes    ---
----                 0      termPrime            ---          term                      no     termPrime
----                 0      arithmeticExpression ---          factor                    no     arithmeticExpression
-                    11     TK_MINUS             ---          lowPrecedenceOp           yes    ---
----                 0      lowPrecedenceOp      ---          expPrime                  no     lowPrecedenceOp
----                 0      expPrime             ---          arithmeticExpression      no     expPrime
(                    11     TK_OP                ---          factor                    yes    ---
----                 0      factor               ---          term                      no     factor
c5                   11     TK_ID                ---          singleOrRecId             yes    ---
----                 0      singleOrRecId        ---          var                       no     singleOrRecId
eps                  0      eps                  ---          optionSingleConstr        yes    ---
----                 0      optionSingleConstr   ---          singleOrRecId             no     optionSingleConstr
----                 0      var                  ---          factor                    no     var
----                 0      factor               ---          term                      no     factor
----                 0      term                 ---          arithmeticExpression      no     term
eps                  0      eps                  ---          termPrime                 yes    ---
----                 0      termPrime            ---          term                      no     termPrime
----                 0      arithmeticExpression ---          factor                    no     arithmeticExpression
-                    11     TK_MINUS             ---          lowPrecedenceOp           yes    ---
----                 0      lowPrecedenceOp      ---          expPrime                  no     lowPrecedenceOp
----                 0      expPrime             ---          arithmeticExpression      no     expPrime
5                    11     TK_NUM               5            var                       yes    ---
----                 0      var                  ---          factor                    no     var
----                 0      factor               ---          term                      no     factor
----                 0      term                 ---          expPrime                  no     term
eps                  0      eps                  ---          termPrime                 yes    ---
----                 0      termPrime            ---          term                      no     termPrime
eps                  0      eps                  ---          expPrime                  yes    ---
----                 0      expPrime             ---          expPrime                  no     expPrime
)                    11     TK_CL                ---          factor                    yes    ---
----                 0      term                 ---          expPrime                  no     term
eps                  0      eps                  ---          termPrime                 yes    ---
----                 0      termPrime            ---          term                      no     termPrime
eps                  0      eps                  ---          expPrime                  yes    ---
----                 0      expPrime             ---          expPrime                  no     expPrime
)                    11     TK_CL                ---          factor                    yes    ---
----                 0      term                 ---          arithmeticExpression      no     term
/                    11     TK_DIV               ---          highPrecedenceOp          yes    ---
----                 0      highPrecedenceOp     ---          termPrime                 no     highPrecedenceOp
----                 0      termPrime            ---          term                      no     termPrime
4                    11     TK_NUM               4            var                       yes    ---
----                 0      var                  ---          factor                    no     var
----                 0      factor               ---          termPrime                 no     factor
eps                  0      eps                  ---          termPrime                 yes    ---
----                 0      termPrime            ---          termPrime                 no     termPrime
----                 0      arithmeticExpression ---          assignmentStmt            no     arithmeticExpression
eps                  0      eps                  ---          expPrime                  yes    ---
----                 0      expPrime             ---          arithmeticExpression      no     expPrime
;                    11     TK_SEM               ---          assignmentStmt            yes    ---
----                 0      stmt                 ---          otherStmts                no     stmt
----                 0      otherStmts           ---          otherStmts                no     otherStmts
